Kod_PPD	No_Pusat	Nama_Pusat	Bil_Calon_Pusat	Nama_Bilik_Kebal	Dikemaskini_Oleh	Tarikh_Kemaskini
BG	BG552	SM ISLAM AL- AMIN	165			
BG	BG556	SM ISLAM ADNI	31			
BG	BG558	SM SETIABUDI	121			
BG	BG906	SMK BUKIT RAHMAN PUTRA (CP)	58			
BG	BG907	SAM RAWANG (CPFJ)	66			
BH	BH001	SEKOLAH MENENGAH KEBANGSAAN PUCHONG	146			
BH	BH002	SEKOLAH MENENGAH KEBANGSAAN PUCHONG	205			
BH	BH005	SMK SULTAN SALAHUDDIN ABDUL AZIZ SHAH	201			
BH	BH009	SEKOLAH MENENGAH KEBANGSAAN SUBANG JAYA	153			
BH	BH013	SEKOLAH MENENGAH KEBANGSAAN SERI SERDANG	183			
BH	BH014	SEKOLAH MENENGAH KEBANGSAAN SERI SERDANG	140			
BH	BH021	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 16	149			
BH	BH022	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 16	170			
BH	BH025	SEKOLAH MENENGAH KEBANGSAAN SUBANG UTAMA	190			
BH	BH029	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN SEBELAS	52			
BH	BH033	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 18	198			
BH	BH033	KOLEJ VOKASIONAL SHAH ALAM	9			
BH	BH037	SEKOLAH MENENGAH KEBANGSAAN SEAFIELD	132			
BH	BH038	SEKOLAH MENENGAH KEBANGSAAN SEAFIELD	84			
BH	BH045	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 19	249			
BH	BH046	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 19	236			
BH	BH049	SEKOLAH MENENGAH KEBANGSAAN ALAM MEGAH	186			
BH	BH053	SEKOLAH MENENGAH KEBANGSAAN TAMAN SRI MUDA	210			
BH	BH054	SEKOLAH MENENGAH KEBANGSAAN TAMAN SRI MUDA	155			
BH	BH057	SEKOLAH MENENGAH KEBANGSAAN SS 17	82			
BH	BH061	SEKOLAH MENENGAH KEBANGSAAN BANDAR SUNWAY	175			
BH	BH065	SEKOLAH MENENGAH KEBANGSAAN SERI INDAH	219			
BH	BH069	SEKOLAH MENENGAH KEBANGSAAN PUCHONG PERDANA	215			
BH	BH070	SEKOLAH MENENGAH KEBANGSAAN PUCHONG PERDANA	220			
BH	BH073	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 9	142			
BH	BH074	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 9	192			
BH	BH077	SEKOLAH MENENGAH KEBANGSAAN SUBANG	166			
BH	BH078	SEKOLAH MENENGAH KEBANGSAAN SUBANG	181			
BH	BH079	SEKOLAH MENENGAH KEBANGSAAN SUBANG	182			
BH	BH081	SEKOLAH MENENGAH KEBANGSAAN USJ 4	160			
BH	BH085	SEKOLAH MENENGAH KEBANGSAAN USJ 13	140			
BH	BH086	SEKOLAH MENENGAH KEBANGSAAN USJ 13	210			
BH	BH089	SEKOLAH MENENGAH KEBANGSAAN USJ 8	191			
BH	BH093	SEKOLAH MENENGAH KEBANGSAAN USJ 12	138			
BH	BH094	SEKOLAH MENENGAH KEBANGSAAN USJ 12	158			
BH	BH097	SEKOLAH MENENGAH KEBANGSAAN PUCHONG UTAMA (1)	169			
BH	BH098	SEKOLAH MENENGAH KEBANGSAAN PUCHONG UTAMA (1)	179			
BH	BH099	SEKOLAH MENENGAH KEBANGSAAN PUCHONG UTAMA (1)	170			
BH	BH101	SEKOLAH MENENGAH KEBANGSAAN TTDI JAYA	173			
BH	BH102	SEKOLAH MENENGAH KEBANGSAAN TTDI JAYA	183			
BH	BH105	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 1 BANDAR KINRARA	190			
BH	BH109	SEKOLAH MENENGAH KEBANGSAAN USJ 23	167			
BH	BH113	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 3 BANDAR KINRARA	153			
BH	BH114	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 3 BANDAR KINRARA	137			
BH	BH117	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 4 BANDAR KINRARA	220			
BH	BH118	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 4 BANDAR KINRARA	209			
BH	BH121	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 7	206			
BH	BH122	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 7	215			
BH	BH125	SEKOLAH MENENGAH KEBANGSAAN PUSAT BANDAR PUCHONG 1	164			
BH	BH126	SEKOLAH MENENGAH KEBANGSAAN PUSAT BANDAR PUCHONG 1	183			
BH	BH127	SEKOLAH MENENGAH KEBANGSAAN PUSAT BANDAR PUCHONG 1	174			
BH	BH129	SEKOLAH MENENGAH KEBANGSAAN BUKIT JELUTONG	119			
BH	BH130	SEKOLAH MENENGAH KEBANGSAAN BUKIT JELUTONG	203			
BH	BH133	SEKOLAH MENENGAH KEBANGSAAN ALAM MEGAH 2	228			
BH	BH137	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 24 (2)	171			
BH	BH138	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 24 (2)	159			
BH	BH141	SEKOLAH MENENGAH KEBANGSAAN BANDAR PUCHONG JAYA (A)	154			
BH	BH145	SEKOLAH MENENGAH KEBANGSAAN BANDAR PUCHONG JAYA (B)	137			
BH	BH146	SEKOLAH MENENGAH KEBANGSAAN BANDAR PUCHONG JAYA (B)	133			
BH	BH149	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 27	219			
BH	BH153	SEKOLAH MENENGAH KEBANGSAAN SERI KEMBANGAN	183			
BH	BH154	SEKOLAH MENENGAH KEBANGSAAN SERI KEMBANGAN	189			
BH	BH155	SEKOLAH MENENGAH KEBANGSAAN SERI KEMBANGAN	179			
BH	BH157	SAMT TENGKU AMPUAN JEMAAH	123			
BH	BH161	SAM BESTARI	103			
BH	BH165	SEKOLAH MENENGAH KEBANGSAAN PUCHONG PERMAI	175			
BH	BH166	SEKOLAH MENENGAH KEBANGSAAN PUCHONG PERMAI	194			
BH	BH169	SEKOLAH MENENGAH KEBANGSAAN SUBANG BESTARI	127			
BH	BH170	SEKOLAH MENENGAH KEBANGSAAN SUBANG BESTARI	205			
BH	BH171	SEKOLAH MENENGAH KEBANGSAAN SUBANG BESTARI	218			
BH	BH174	SEKOLAH MENENGAH KEBANGSAAN TAMAN DESAMINIUM	193			
BH	BH175	SEKOLAH MENENGAH KEBANGSAAN TAMAN DESAMINIUM	186			
BH	BH178	SEKOLAH MENENGAH KEBANGSAAN SETIA ALAM	168			
BH	BH179	SEKOLAH MENENGAH KEBANGSAAN SETIA ALAM	134			
BH	BH182	SEKOLAH MENENGAH KEBANGSAAN SHAH ALAM	124			
BH	BH183	SEKOLAH MENENGAH KEBANGSAAN SHAH ALAM	139			
BH	BH185	SEKOLAH MENENGAH KEBANGSAAN BANDAR PUNCAK JALIL	236			
BH	BH550	SM SRI KUALA LUMPUR	232			
BH	BH554	SM SRI UCSI	68			
BH	BH558	SM SERI CAHAYA	69			
BH	BH562	MAAHAD SAINS AL-QURAN AL-AMIN	8			
BH	BH566	SM ISLAM DARUL EHSAN	27			
BH	BH569	SM BINA INSAN	72			
BH	BH582	SM SRI TENBY	92			
BH	BH585	SEKOLAH MENENGAH PENINSULA	4			
BH	BH905	SMK SERI INDAH (CP)	50			
BH	BH909	SMK ALAM MEGAH 2 (CP)	90			
BH	BH910	SMK BANDAR PUCHONG JAYA (A) (CP)	169			
BH	BH914	SMK SHAH ALAM (CP)	106			
BH	BH915	SMK SULTAN SALAHUDDIN ABDUL AZIZ SHAH (CP)	134			
BH	BH916	SMK USJ 4 (CP)	90			
BH	BH917	SMK PUCHONG (CP)	92			
BJ	BJ001	SEKOLAH MENENGAH KEBANGSAAN SUNGAI PELEK	199			
BJ	BJ005	SEKOLAH MENENGAH KEBANGSAAN DENGKIL	223			
BJ	BJ006	SEKOLAH MENENGAH KEBANGSAAN DENGKIL	137			
BJ	BJ009	SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAWANG	93			
BJ	BJ013	SEKOLAH MENENGAH KEBANGSAAN SERI SEPANG	214			
BJ	BJ014	SEKOLAH MENENGAH KEBANGSAAN SERI SEPANG	235			
BJ	BJ025	SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU SALAK TINGGI	163			
BJ	BJ026	SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU SALAK TINGGI	205			
BJ	BJ027	SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU SALAK TINGGI	155			
BJ	BJ037	SEKOLAH MENENGAH KEBANGSAAN SERI PUTERI	176			
BJ	BJ041	SEKOLAH MENENGAH KEBANGSAAN CYBERJAYA	220			
BJ	BJ042	SEKOLAH MENENGAH KEBANGSAAN CYBERJAYA	175			
BJ	BJ045	SEKOLAH MENENGAH KEBANGSAAN PANTAI SEPANG PUTRA	84			
BJ	BJ049	SEKOLAH MENENGAH KEBANGSAAN PUTRA PERDANA	210			
BJ	BJ050	SEKOLAH MENENGAH KEBANGSAAN PUTRA PERDANA	215			
BJ	BJ051	SEKOLAH MENENGAH KEBANGSAAN PUTRA PERDANA	212			
BJ	BJ053	SAM BANDAR BARU SALAK TINGGI	161			
BJ	BJ057	SAM SUNGAI MERAB LUAR	77			
BJ	BJ057	KOLEJ VOKASIONAL SEPANG	0			
BJ	BJ061	SEKOLAH MENENGAH KEBANGSAAN DATO' ABU BAKAR BAGINDA	131			
BJ	BJ062	SEKOLAH MENENGAH KEBANGSAAN DATO' ABU BAKAR BAGINDA	191			
BJ	BJ065	MAAHAD INTEGRASI TAHFIZ SELANGOR (MITS) BAGAN LALANG	48			
BJ	BJ550	SEKOLAH KIBLAH	57			
BJ	BJ552	SEKOLAH MENENGAH RAFFLESIA	39			
BJ	BJ554	SEKOLAH MENENGAH ABEDEEN	14			
BJ	BJ900	SMK PANTAI SEPANG PUTRA (CP)	114			
BJ	BJ901	SMK SERI SEPANG (CP)	35			
BJ	BJ902	SMK DATO' ABU BAKAR BAGINDA (CP)	79			
BJ	BJ903	SAM BANDAR BARU SALAK TINGGI (CPFJ)	30			
BK	BK001	SEKOLAH MENENGAH KEBANGSAAN ASSUNTA	205			
BK	BK005	SEKOLAH MENENGAH KEBANGSAAN (L) BUKIT BINTANG	67			
BK	BK009	SEKOLAH MENENGAH KEBANGSAAN KATHOLIK	198			
BK	BK010	SEKOLAH MENENGAH KEBANGSAAN KATHOLIK	159			
BK	BK011	SEKOLAH MENENGAH KEBANGSAAN KATHOLIK	179			
BK	BK013	SEKOLAH MENENGAH KEBANGSAAN LA SALLE PJ	132			
BK	BK017	SEKOLAH MENENGAH KEBANGSAAN (P) SRI AMAN	156			
BK	BK021	SEKOLAH MENENGAH KEBANGSAAN TAMAN SEA	111			
BK	BK022	SEKOLAH MENENGAH KEBANGSAAN TAMAN SEA	124			
BK	BK025	SEKOLAH MENENGAH KEBANGSAAN SULTAN ABDUL SAMAD	231			
BK	BK029	SEKOLAH MENENGAH KEBANGSAAN (P) TMN PETALING	62			
BK	BK033	SEKOLAH MENENGAH KEBANGSAAN SRI PERMATA	208			
BK	BK037	SEKOLAH MENENGAH KEBANGSAAN TAMAN DATO' HARUN	143			
BK	BK038	SEKOLAH MENENGAH KEBANGSAAN TAMAN DATO' HARUN	122			
BK	BK041	SEKOLAH MENENGAH KEBANGSAAN DAMANSARA JAYA	217			
BK	BK045	SEKOLAH MENENGAH KEBANGSAAN DAMANSARA UTAMA	194			
BK	BK049	SEKOLAH MENENGAH KEBANGSAAN TAMAN MEDAN	159			
BK	BK050	SEKOLAH MENENGAH KEBANGSAAN TAMAN MEDAN	103			
BK	BK053	SEKOLAH MENENGAH KEBANGSAAN KELANA JAYA	97			
BK	BK057	SEKOLAH MENENGAH KEBANGSAAN SRI UTAMA	56			
BK	BK065	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 10 KOTA DAMANSARA	167			
BK	BK066	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 10 KOTA DAMANSARA	119			
BK	BK069	SEKOLAH MENENGAH KEBANGSAAN TROPICANA	205			
BK	BK073	SEKOLAH MENENGAH KEBANGSAAN BANDAR SRI DAMANSARA 2	193			
BK	BK077	SEKOLAH MENENGAH KEBANGSAAN BANDAR UTAMA DAMANSARA 3	212			
BK	BK081	SEKOLAH MENENGAH KEBANGSAAN BANDAR UTAMA DAMANSARA (4)	211			
BK	BK085	SEKOLAH MENENGAH KEBANGSAAN DAMANSARA DAMAI 1	176			
BK	BK086	SEKOLAH MENENGAH KEBANGSAAN DAMANSARA DAMAI 1	170			
BK	BK089	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 4 KOTA DAMANSARA	163			
BK	BK093	SEKOLAH MENENGAH KEBANGSAAN BANDAR UTAMA DAMANSARA (2)	126			
BK	BK097	SEKOLAH MENENGAH KEBANGSAAN BANDAR SRI DAMANSARA 1	95			
BK	BK098	SEKOLAH MENENGAH KEBANGSAAN BANDAR SRI DAMANSARA 1	173			
BK	BK101	SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG	132			
BK	BK105	SEKOLAH MENENGAH KEBANGSAAN SEKSYEN 8 KOTA DAMANSARA	145			
BK	BK550	SEKOLAH SRI BESTARI	87			
BK	BK554	SM SRI KDU	158			
BK	BK566	SM BESTARI ASIA PACIFIC	72			
BK	BK900	SMK ASSUNTA (CP)	100			
BK	BK905	SMK DAMANSARA DAMAI 1 (CP)	70			
BK	BK923	SMK (L) BUKIT BINTANG (CP)	90			
BK	BK924	SMK SRI UTAMA (CP)	85			
BK	AA	SMK BANDAR UTAMA DAMANSARA (4) (CP)	75			
BK	BK927	SMK LEMBAH SUBANG (CP)	68			
